# anc1_x,anc1_y,anc2_x,anc2_y,anc3_x,anc3_y,anc4_x,anc4_y,anc1_RSS,anc2_RSS,anc3_RSS,anc4_RSS,anc1_AoA,anc2_AoA,anc3_AoA,anc4_AoA,anc1_ToA,anc2_ToA,anc3_ToA,anc4_ToA,sensor_x,sensor_y
8.000000000000000167e-02,6.199999999999999956e-01,1.100000000000000006e-01,5.699999999999999512e-01,9.899999999999999911e-01,5.500000000000000444e-01,5.500000000000000444e-01,3.099999999999999978e-01,8.457533945743256343e-01,8.657275824702742595e-01,9.346430093134173722e-01,9.110625489797256060e-01,7.302765026665068993e-01,7.472382542218644064e-01,9.550219760389184742e-01,8.214607949634191719e-01,2.527221772660820931e-01,2.704801744817773024e-01,6.213462225926301707e-01,5.217937657483581182e-01,1.700000000000000122e-01,9.899999999999999911e-01
8.000000000000000167e-02,6.199999999999999956e-01,1.100000000000000006e-01,5.699999999999999512e-01,9.899999999999999911e-01,5.500000000000000444e-01,5.500000000000000444e-01,3.099999999999999978e-01,9.108423798213381994e-01,9.069185197337001902e-01,8.820075988384608046e-01,7.852365783354838813e-01,3.803273276749357112e-01,3.677006290801425048e-01,1.296043073313059568e-01,3.229359205470018201e-01,5.077238919894498936e-01,4.638699948937687334e-01,3.955490653011917712e-01,1.408234442145552545e-01,6.099999999999999867e-01,1.000000000000000056e-01
8.000000000000000167e-02,6.199999999999999956e-01,1.100000000000000006e-01,5.699999999999999512e-01,9.899999999999999911e-01,5.500000000000000444e-01,5.500000000000000444e-01,3.099999999999999978e-01,9.151130635903143018e-01,9.046502944033658622e-01,8.486849077287415000e-01,9.036909426666428491e-01,5.393348489128367840e-01,5.712114472987372960e-01,8.034037840374097517e-01,6.502227033340497453e-01,5.429779062691088010e-01,5.243787622938033133e-01,2.820656793109520000e-01,4.384187153908426504e-01,8.100000000000000533e-01,9.000000000000000222e-01
8.000000000000000167e-02,6.199999999999999956e-01,1.100000000000000006e-01,5.699999999999999512e-01,9.899999999999999911e-01,5.500000000000000444e-01,5.500000000000000444e-01,3.099999999999999978e-01,9.298857337543525725e-01,9.132560598922392359e-01,8.002889312861356519e-01,8.866101082909055853e-01,5.087658584709063847e-01,5.311053565921336483e-01,7.797534771113878715e-01,6.376486480531911027e-01,5.777057724676262218e-01,5.642858176397005376e-01,1.723270959200362273e-01,3.982185125207822751e-01,9.100000000000000311e-01,7.800000000000000266e-01
8.000000000000000167e-02,6.199999999999999956e-01,1.100000000000000006e-01,5.699999999999999512e-01,9.899999999999999911e-01,5.500000000000000444e-01,5.500000000000000444e-01,3.099999999999999978e-01,8.011003610769947825e-01,7.822655646406859731e-01,9.100328640177842709e-01,8.402149709588310200e-01,4.964570460576300248e-01,5.331118312945719584e-01,1.546015581343517138e-03,8.669916773045565073e-01,1.591886489259290993e-01,1.414016885240145238e-01,4.496552752186070978e-01,2.694743306066084698e-01,3.099999999999999978e-01,5.999999999999999778e-01
8.000000000000000167e-02,6.199999999999999956e-01,1.100000000000000006e-01,5.699999999999999512e-01,9.899999999999999911e-01,5.500000000000000444e-01,5.500000000000000444e-01,3.099999999999999978e-01,8.398832317728135433e-01,8.133416068349810235e-01,9.107018184976806152e-01,8.022450397389400134e-01,3.832745189972101008e-01,3.482762923604298400e-01,8.350201331980570962e-02,9.995686759671315036e-01,2.215780028195665219e-01,1.778258905265574508e-01,4.734361025818317747e-01,1.637626438654206651e-01,2.999999999999999889e-01,3.599999999999999867e-01
8.000000000000000167e-02,6.199999999999999956e-01,1.100000000000000006e-01,5.699999999999999512e-01,9.899999999999999911e-01,5.500000000000000444e-01,5.500000000000000444e-01,3.099999999999999978e-01,8.544774208616515709e-01,8.524125685020176313e-01,8.769750589939175889e-01,7.494623317075060909e-01,4.307925934852783745e-01,4.405437885441215728e-01,6.036483690929136427e-03,7.779833158920566039e-01,2.926601512552935436e-01,2.740447251877002333e-01,3.379343710574441717e-01,1.039187763549589694e-01,5.000000000000000000e-01,4.500000000000000111e-01
8.000000000000000167e-02,6.199999999999999956e-01,1.100000000000000006e-01,5.699999999999999512e-01,9.899999999999999911e-01,5.500000000000000444e-01,5.500000000000000444e-01,3.099999999999999978e-01,9.038436971823936572e-01,9.058323023874769175e-01,8.046597825613523991e-01,8.150820120393577062e-01,5.287682968154688856e-01,5.080889233911004554e-01,1.462446361373173978e-02,6.109240303711785947e-01,4.734378438183956539e-01,4.339636709890682398e-01,1.799122481705713039e-01,1.858729284440537033e-01,7.500000000000000000e-01,5.100000000000000089e-01
8.000000000000000167e-02,6.199999999999999956e-01,1.100000000000000006e-01,5.699999999999999512e-01,9.899999999999999911e-01,5.500000000000000444e-01,5.500000000000000444e-01,3.099999999999999978e-01,9.366745906325469884e-01,9.320434389386444973e-01,8.025266931309379403e-01,9.025792554051553784e-01,5.365842419124644547e-01,5.395276460801732288e-01,7.426100512861515401e-01,6.375100783675914373e-01,6.166683901236390541e-01,5.952843187547263160e-01,1.453651126128198967e-01,4.301352298340767599e-01,9.799999999999999822e-01,8.000000000000000444e-01
8.000000000000000167e-02,6.199999999999999956e-01,1.100000000000000006e-01,5.699999999999999512e-01,9.899999999999999911e-01,5.500000000000000444e-01,5.500000000000000444e-01,3.099999999999999978e-01,7.995873766322767473e-01,7.672038524834464690e-01,9.324871685181367331e-01,8.516489383776896238e-01,3.296513190628112544e-01,3.270202397492845692e-01,9.987089174194104801e-01,9.537605260876020896e-01,1.492108571894812385e-01,1.210409820386713492e-01,5.615515988336555742e-01,2.645532008745343777e-01,1.600000000000000033e-01,4.000000000000000222e-01
8.000000000000000167e-02,6.199999999999999956e-01,1.100000000000000006e-01,5.699999999999999512e-01,9.899999999999999911e-01,5.500000000000000444e-01,5.500000000000000444e-01,3.099999999999999978e-01,8.807988899770491376e-01,8.771871145208300913e-01,8.426483498087712354e-01,8.420442236515477408e-01,5.268875428392385540e-01,5.173715688141576896e-01,9.559594864355991373e-01,6.939296394929208578e-01,3.874760454220245176e-01,3.491608631755651615e-01,2.237415658426459286e-01,2.369563658614060042e-01,6.500000000000000222e-01,6.500000000000000222e-01
8.000000000000000167e-02,6.199999999999999956e-01,1.100000000000000006e-01,5.699999999999999512e-01,9.899999999999999911e-01,5.500000000000000444e-01,5.500000000000000444e-01,3.099999999999999978e-01,8.725980830649776587e-01,8.594162040407504755e-01,8.489164530939186104e-01,8.053739269161653835e-01,4.897834075158947198e-01,4.949852084997712898e-01,9.668924447194345850e-01,6.763746189114669960e-01,3.195038006385089169e-01,3.141820518303850562e-01,2.919465463019297324e-01,1.749330726480282927e-01,5.699999999999999512e-01,5.799999999999999600e-01
8.000000000000000167e-02,6.199999999999999956e-01,1.100000000000000006e-01,5.699999999999999512e-01,9.899999999999999911e-01,5.500000000000000444e-01,5.500000000000000444e-01,3.099999999999999978e-01,9.282043321911805922e-01,9.211692926787233837e-01,6.272231984319178721e-01,8.688920079544685260e-01,4.447325094889731378e-01,4.727174788924496385e-01,9.881542650317979293e-01,6.294950971376711557e-01,5.775214222754105897e-01,5.604615166695370299e-01,3.062885957499619435e-02,3.179441078301137869e-01,9.499999999999999556e-01,5.500000000000000444e-01
8.000000000000000167e-02,6.199999999999999956e-01,1.100000000000000006e-01,5.699999999999999512e-01,9.899999999999999911e-01,5.500000000000000444e-01,5.500000000000000444e-01,3.099999999999999978e-01,8.592890937575665689e-01,8.424430203004611428e-01,9.081265336218622419e-01,7.669116511758982124e-01,3.828451867484438664e-01,3.796671744335152199e-01,7.723330978160194982e-02,9.753908358181053728e-01,2.675814076719407741e-01,2.605551856192461213e-01,4.637799933077400016e-01,1.288337900555024673e-01,3.699999999999999956e-01,3.099999999999999978e-01
8.000000000000000167e-02,6.199999999999999956e-01,1.100000000000000006e-01,5.699999999999999512e-01,9.899999999999999911e-01,5.500000000000000444e-01,5.500000000000000444e-01,3.099999999999999978e-01,8.484311491097489277e-01,8.632322226397903808e-01,9.095790472540293825e-01,8.918300106117937887e-01,5.887009356961859785e-01,6.224263889821092244e-01,9.109077244949389529e-01,7.503059320356167960e-01,2.688135931965316971e-01,2.807385402732237578e-01,4.428833029244390040e-01,4.099700485118529247e-01,4.000000000000000222e-01,8.800000000000000044e-01
8.000000000000000167e-02,6.199999999999999956e-01,1.100000000000000006e-01,5.699999999999999512e-01,9.899999999999999911e-01,5.500000000000000444e-01,5.500000000000000444e-01,3.099999999999999978e-01,9.361705052313429309e-01,9.277726700411862426e-01,8.068969758215994714e-01,8.534589418464003652e-01,4.255772343094283428e-01,4.348819415646270059e-01,2.262065310339895496e-01,4.721705467833773318e-01,6.299792869083260527e-01,6.124920131884665775e-01,1.877038172490304857e-01,2.687303072647615476e-01,9.599999999999999645e-01,2.899999999999999800e-01
8.000000000000000167e-02,6.199999999999999956e-01,1.100000000000000006e-01,5.699999999999999512e-01,9.899999999999999911e-01,5.500000000000000444e-01,5.500000000000000444e-01,3.099999999999999978e-01,9.033026066000010568e-01,8.845273665337770597e-01,9.322153703485281939e-01,8.387833751661172288e-01,3.307638928564017866e-01,2.970280191044049056e-01,1.119371366700137732e-01,1.463548398984559906e-01,4.266110780155086268e-01,3.764241584581556888e-01,5.632290019752003163e-01,2.286646298787178011e-01,3.200000000000000067e-01,4.000000000000000083e-02
8.000000000000000167e-02,6.199999999999999956e-01,1.100000000000000006e-01,5.699999999999999512e-01,9.899999999999999911e-01,5.500000000000000444e-01,5.500000000000000444e-01,3.099999999999999978e-01,9.408394543059360737e-01,9.226472473487637993e-01,8.931466058770979322e-01,8.362103733804274741e-01,3.638477946017550924e-01,3.585416522358845226e-01,1.867539949310709213e-01,3.527458066638416989e-01,5.983032387170729161e-01,5.343707335689409366e-01,4.088004338757278422e-01,2.333527958340343988e-01,7.199999999999999734e-01,1.000000000000000021e-02
8.000000000000000167e-02,6.199999999999999956e-01,1.100000000000000006e-01,5.699999999999999512e-01,9.899999999999999911e-01,5.500000000000000444e-01,5.500000000000000444e-01,3.099999999999999978e-01,8.263636401260259223e-01,8.293355149123700087e-01,9.423666273720339159e-01,9.203412334114327020e-01,7.263048876043907143e-01,7.575051079064365478e-01,9.257840742138421231e-01,8.608004011316708892e-01,2.067537624682499187e-01,2.533759789398268847e-01,6.659006273542761312e-01,5.216916689212643954e-01,5.999999999999999778e-02,9.300000000000000488e-01
8.000000000000000167e-02,6.199999999999999956e-01,1.100000000000000006e-01,5.699999999999999512e-01,9.899999999999999911e-01,5.500000000000000444e-01,5.500000000000000444e-01,3.099999999999999978e-01,8.527526902927046182e-01,8.516360196354314516e-01,8.877942452721272470e-01,8.531071701905125204e-01,5.603350848795217720e-01,5.731064890641932585e-01,9.189412694267562465e-01,7.754882655473707143e-01,2.974133138199975268e-01,2.854178672787058280e-01,3.616687206956562539e-01,2.520880867901331701e-01,5.100000000000000089e-01,6.999999999999999556e-01
4.199999999999999845e-01,5.000000000000000278e-02,7.199999999999999734e-01,9.799999999999999822e-01,5.200000000000000178e-01,5.200000000000000178e-01,5.999999999999999778e-02,8.699999999999999956e-01,9.281827722249798018e-01,9.075115687361898775e-01,8.888568116185584511e-01,6.457891427822053387e-01,7.862691371397434459e-01,1.936120737695006325e-02,8.982399582009236161e-01,9.448950657989562130e-01,6.336243371878298447e-01,4.807675272977951497e-01,4.211324096136819239e-01,3.614382861081721215e-02,1.000000000000000021e-02,8.800000000000000044e-01
4.199999999999999845e-01,5.000000000000000278e-02,7.199999999999999734e-01,9.799999999999999822e-01,5.200000000000000178e-01,5.200000000000000178e-01,5.999999999999999778e-02,8.699999999999999956e-01,9.261676530349289838e-01,9.055110195464682876e-01,8.824703910724644995e-01,6.757371359402934985e-01,8.210079175195480472e-01,5.890224441181288878e-02,9.194049789355177582e-01,2.247579702029350868e-01,5.669630728366881200e-01,4.766053385571996648e-01,3.693195601033576470e-01,5.934086896022255919e-02,4.000000000000000083e-02,8.000000000000000444e-01
4.199999999999999845e-01,5.000000000000000278e-02,7.199999999999999734e-01,9.799999999999999822e-01,5.200000000000000178e-01,5.200000000000000178e-01,5.999999999999999778e-02,8.699999999999999956e-01,8.831310507084636496e-01,8.994101700065477711e-01,8.715851735239174003e-01,9.382157725323373443e-01,6.011115695008014681e-01,2.680550570773134189e-01,4.250854313605936241e-01,4.136724662954399112e-01,4.124124477308598880e-01,4.720400396181943514e-01,3.128336619005948616e-01,6.900887601074358058e-01,9.499999999999999556e-01,3.099999999999999978e-01
4.199999999999999845e-01,5.000000000000000278e-02,7.199999999999999734e-01,9.799999999999999822e-01,5.200000000000000178e-01,5.200000000000000178e-01,5.999999999999999778e-02,8.699999999999999956e-01,8.636852151423216606e-01,8.988789244265127376e-01,7.696196898485117011e-01,8.707717073586342948e-01,7.755615434708308387e-01,1.102252035792417872e-01,3.438781522599770185e-02,3.149708561420099806e-01,2.896087018672674485e-01,4.079485784879446353e-01,1.284841938264246752e-01,3.045880856663500946e-01,3.400000000000000244e-01,4.799999999999999822e-01
4.199999999999999845e-01,5.000000000000000278e-02,7.199999999999999734e-01,9.799999999999999822e-01,5.200000000000000178e-01,5.200000000000000178e-01,5.999999999999999778e-02,8.699999999999999956e-01,8.780760339463566932e-01,8.977513968000584432e-01,8.168700181862141863e-01,9.235741768386088735e-01,5.814422654907452914e-01,2.424073587972546129e-01,4.051607616878450946e-01,4.037769165253197179e-01,3.130165751024597820e-01,4.016475883116080725e-01,1.889811949329098795e-01,5.631834722460384857e-01,7.700000000000000178e-01,3.800000000000000044e-01
4.199999999999999845e-01,5.000000000000000278e-02,7.199999999999999734e-01,9.799999999999999822e-01,5.200000000000000178e-01,5.200000000000000178e-01,5.999999999999999778e-02,8.699999999999999956e-01,8.402666666351215063e-01,9.107678077783152304e-01,8.093161137069713185e-01,9.237886662972594198e-01,6.177719821778560050e-01,1.915429041538983523e-01,3.112542737819893324e-01,4.043473921465156606e-01,2.166165771776159266e-01,4.564445139640124771e-01,1.681269842503110568e-01,5.513212764192074733e-01,6.400000000000000133e-01,2.999999999999999889e-01
4.199999999999999845e-01,5.000000000000000278e-02,7.199999999999999734e-01,9.799999999999999822e-01,5.200000000000000178e-01,5.200000000000000178e-01,5.999999999999999778e-02,8.699999999999999956e-01,9.046511414882895119e-01,8.739887678549993488e-01,8.606655110642477124e-01,9.365495884908198176e-01,5.760612113163222636e-01,3.127842310944519699e-01,5.515391075753895977e-01,3.928116569784770307e-01,4.921383769508850259e-01,3.436390913852696016e-01,2.948840713354329290e-01,6.430052014735000432e-01,9.699999999999999734e-01,5.500000000000000444e-01
4.199999999999999845e-01,5.000000000000000278e-02,7.199999999999999734e-01,9.799999999999999822e-01,5.200000000000000178e-01,5.200000000000000178e-01,5.999999999999999778e-02,8.699999999999999956e-01,7.260467138958486277e-01,9.385054291721820485e-01,8.673816365475360834e-01,9.172597316472270723e-01,9.307175027297234227e-01,1.834658520265872728e-01,1.615167920442330263e-01,3.107109667679153753e-01,7.322999850811258427e-02,6.474780301652267589e-01,3.272560211805173869e-01,5.387560494182812576e-01,3.099999999999999978e-01,1.000000000000000056e-01
4.199999999999999845e-01,5.000000000000000278e-02,7.199999999999999734e-01,9.799999999999999822e-01,5.200000000000000178e-01,5.200000000000000178e-01,5.999999999999999778e-02,8.699999999999999956e-01,8.921755357089192762e-01,8.492930152278362899e-01,7.037115719440275585e-01,8.832002928078064308e-01,7.021174313629024999e-01,1.683404700365407070e-01,6.400832728647232184e-01,4.405720166430314166e-01,3.697549872624635858e-01,2.806058931749241814e-01,7.133272791614463093e-02,3.885845879173568940e-01,5.699999999999999512e-01,5.899999999999999689e-01
4.199999999999999845e-01,5.000000000000000278e-02,7.199999999999999734e-01,9.799999999999999822e-01,5.200000000000000178e-01,5.200000000000000178e-01,5.999999999999999778e-02,8.699999999999999956e-01,8.431262106308402560e-01,9.053363717039516478e-01,7.888616328759592289e-01,8.765287582092333718e-01,7.757660531227499323e-01,1.688912265752882114e-01,1.239982965773369500e-01,2.972472421120979091e-01,2.432638220866299994e-01,4.793098223110228151e-01,1.534608998215551690e-01,3.828073147866000725e-01,3.499999999999999778e-01,3.900000000000000133e-01
4.199999999999999845e-01,5.000000000000000278e-02,7.199999999999999734e-01,9.799999999999999822e-01,5.200000000000000178e-01,5.200000000000000178e-01,5.999999999999999778e-02,8.699999999999999956e-01,9.002308806505865402e-01,8.415047673106987869e-01,7.878339390542566933e-01,9.141454061076832449e-01,6.889317636251877097e-01,2.760410598454519082e-01,5.797008396311247314e-01,4.175372317582940473e-01,4.187383867214590216e-01,2.717998057111017385e-01,1.374437427022979219e-01,4.905972819482365965e-01,7.199999999999999734e-01,5.999999999999999778e-01
